ID,Name,Strength,Generic Name,Manufactured by,Unit Price
1,1stCef,500 mg,Cefadroxil Monohydrate,Medimet Pharmaceuticals Ltd.,Unit Price : ৳ 12.00
2,3-C,400 mg,Cefixime Trihydrate,Edruc Ltd.,Unit Price : ৳ 48.00
3,3-C,200 mg,Cefixime Trihydrate,Edruc Ltd.,Unit Price : ৳ 35.00
4,3-C,100 mg/5 ml,Cefixime Trihydrate,Edruc Ltd.,100 ml bottle : ৳ 195.00
5,3-F,500 mg,Levofloxacin Hemihydrate,Edruc Ltd.,Unit Price : ৳ 14.00
6,3-Geocef,100 mg/5 ml,Cefixime Trihydrate,Hallmark Pharmaceuticals Ltd.,50 ml bottle : ৳ 175.00
7,3-Geocef,200 mg,Cefixime Trihydrate,Hallmark Pharmaceuticals Ltd.,Unit Price : ৳ 30.00
8,3Bion,100 mg+200 mg+200 mcg,"Vitamin B1, B6 & B12",Julphar Bangladesh Ltd.,Unit Price : ৳ 8.00
9,3RD Cef,200 mg,Cefixime Trihydrate,Medimet Pharmaceuticals Ltd.,Unit Price : ৳ 27.00
10,3RD Cef,100 mg/5 ml,Cefixime Trihydrate,Medimet Pharmaceuticals Ltd.,37.5 ml bottle : ৳ 130.00
11,3RD Cef,400 mg,Cefixime Trihydrate,Medimet Pharmaceuticals Ltd.,Unit Price : ৳ 50.00
12,5 FU PhaRes,25 mg/ml,5-Fluorouracil [5-FU],ZAS Corporation,500 mg vial : ৳ 457.00
13,5-Fluril,25 mg/ml,5-Fluorouracil [5-FU],Techno Drugs Ltd.,250 mg vial : ৳ 55.00
14,5X,30 mg,Ulipristal Acetate [For emergency contraception],Renata Limited,Unit Price : ৳ 200.00
15,A-B1,100 mg,Thiamine Hydrochloride,ACME Laboratories Ltd.,Unit Price : ৳ 0.86
16,A-Cal,500 mg,Calcium Carbonate,ACME Laboratories Ltd.,Unit Price : ৳ 5.00
17,A-Cal,250 mg,Calcium Carbonate,ACME Laboratories Ltd.,Unit Price : ৳ 1.00
18,A-Cal,250 mg,Calcium Carbonate,ACME Laboratories Ltd.,Unit Price : ৳ 1.50
19,A-Cal D,500 mg+200 IU,Calcium Carbonate [Elemental source] + Vitamin D3,ACME Laboratories Ltd.,Unit Price : ৳ 6.50
20,A-Cal DX,500 mg+400 IU,Calcium Carbonate [Elemental source] + Vitamin D3,ACME Laboratories Ltd.,Unit Price : ৳ 7.50
21,A-Calm,50 mg,Tolperisone Hydrochloride,ACME Laboratories Ltd.,Unit Price : ৳ 6.00
22,A-Card,20 mg,Isosorbide Mononitrate,ACME Laboratories Ltd.,Unit Price : ৳ 1.43
23,A-Care,6 mg+200 mg+50 mg,Betacarotene + Vitamin C + Vitamin E,Asiatic Laboratories Ltd.,Unit Price : ৳ 2.50
24,A-Clox,500 mg/vial,Cloxacillin Sodium,ACME Laboratories Ltd.,500 mg vial : ৳ 28.43
25,A-Clox,125 mg/5 ml,Cloxacillin Sodium,ACME Laboratories Ltd.,100 ml bottle : ৳ 45.00
26,A-Clox,250 mg/vial,Cloxacillin Sodium,ACME Laboratories Ltd.,250 mg vial : ৳ 20.00
27,A-Clox,500 mg,Cloxacillin Sodium,ACME Laboratories Ltd.,Unit Price : ৳ 5.98
28,A-Cof,(10 mg+30 mg+1.25 mg)/5 ml,Dextromethorphan + Pseudoephedrine + Triprolidine,ACME Laboratories Ltd.,100 ml bottle : ৳ 100.00
29,A-Cold,4 mg/5 ml,Bromhexine Hydrochloride,ACME Laboratories Ltd.,100 ml bottle : ৳ 40.12
30,A-COLD Vet,100 mg,Bromhexine Hydrochloride,ACME Laboratories Ltd.,Unit Price : ৳ 10.01
31,A-COLD Vet,10 mg/gm,Bromhexine Hydrochloride,ACME Laboratories Ltd.,100 gm sachet : ৳ 98.64
32,A-Fenac,75 mg/3 ml,Diclofenac Sodium,ACME Laboratories Ltd.,3 ml ampoule : ৳ 14.10
33,A-Fenac,25 mg,Diclofenac Sodium,ACME Laboratories Ltd.,Unit Price : ৳ 0.55
34,A-Fenac,50 mg,Diclofenac Sodium,ACME Laboratories Ltd.,Unit Price : ৳ 14.10
35,A-Fenac,1% w/w,Diclofenac Sodium,ACME Laboratories Ltd.,10 gm tube : ৳ 13.09
36,A-Fenac,50 mg,Diclofenac Sodium,ACME Laboratories Ltd.,Unit Price : ৳ 0.84
37,A-Fenac,12.5 mg,Diclofenac Sodium,ACME Laboratories Ltd.,Unit Price : ৳ 8.07
38,A-Fenac K,50 mg,Diclofenac Potassium,ACME Laboratories Ltd.,Unit Price : ৳ 3.01
